"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PI","Impinj, Inc.","61.22","$1.41B","2016","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/pi",
"IMV","IMV Inc.","3.68","$246.9M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/imv",
"NARI","Inari Medical, Inc.","107.07","$5.22B","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nari",
"INCY","Incyte Corporation","97.89","$21.44B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/incy",
"INDB","Independent Bank Corp.","78.08","$2.57B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/indb",
"IBCP","Independent Bank Corporation","20.13","$439.95M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ibcp",
"IBTX","Independent Bank Group, Inc","67.33","$2.9B","2013","Finance","Major Banks","https://old.nasdaq.com/symbol/ibtx",
"INDT","INDUS Realty Trust, Inc.","65.51","$370.61M","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/indt",
"ILPT","Industrial Logistics Properties Trust","22.23","$1.45B","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ilpt",
"ITAC","Industrial Tech Acquisitions, Inc.","10.265","$99.34M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/itac",
"ITACU","Industrial Tech Acquisitions, Inc.","11.4","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/itacu",
"ITACW","Industrial Tech Acquisitions, Inc.","1.29","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/itacw",
"INFN","Infinera Corporation","9.73","$1.88B","2007","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/infn",
"INFI","Infinity Pharmaceuticals, Inc.","4.09","$262.61M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/infi",
"IFRX","InflaRx N.V.","5.71","$161.18M","2017","n/a","n/a","https://old.nasdaq.com/symbol/ifrx",
"III","Information Services Group, Inc.","3.6","$173.09M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/iii",
"IEA","Infrastructure and Energy Alternatives, Inc.","22.63","$515.72M","2016","Finance","Business Services","https://old.nasdaq.com/symbol/iea",
"IEAWW","Infrastructure and Energy Alternatives, Inc.","5.7","n/a","2016","Finance","Business Services","https://old.nasdaq.com/symbol/ieaww",
"IMKTA","Ingles Markets, Incorporated","43.42","$879.68M","1987","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/imkta",
"IKT","Inhibikase Therapeutics, Inc.","6.6","$66.63M","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ikt",
"INBX","Inhibrx, Inc.","36.42","$1.37B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/inbx",
"INM","InMed Pharmaceuticals Inc.","4.05","$28.35M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/inm",
"INMD","INMODE LTD.","59.67","$1.96B","2019","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/inmd",
"INMB","INmune Bio Inc.","20.72","$278.64M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/inmb",
"IPHA","Innate Pharma S.A.","4.49","$354.54M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/ipha",
"INOD","Innodata Inc.","5.5","$136.08M","1993","Technology","EDP Services","https://old.nasdaq.com/symbol/inod",
"IOSP","Innospec Inc.","96.61","$2.37B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/iosp",
"ISSC","Innovative Solutions and Support, Inc.","6.34","$109.14M","2000","Technology","EDP Services","https://old.nasdaq.com/symbol/issc",
"INVA","Innoviva, Inc.","12.34","$1.25B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/inva",
"INGN","Inogen, Inc","46.92","$1.04B","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/ingn",
"INOV","Inovalon Holdings, Inc.","25.93","$4.03B","2015","Technology","EDP Services","https://old.nasdaq.com/symbol/inov",
"INO","Inovio Pharmaceuticals, Inc.","9","$1.52B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/ino",
"INZY","Inozyme Pharma, Inc.","26.5","$619.38M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/inzy",
"IPHI","Inphi Corporation","175.45","$9.14B","2010","Technology","Semiconductors","https://old.nasdaq.com/symbol/iphi",
"INPX","Inpixon ","1.62","$81.29M","2014","Technology","EDP Services","https://old.nasdaq.com/symbol/inpx",
"INSG","Inseego Corp.","19.35","$1.91B","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/insg",
"NSIT","Insight Enterprises, Inc.","82.24","$2.89B","1995","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/nsit",
"ISIG","Insignia Systems, Inc.","7.84","$13.7M","1991","Consumer Services","Advertising","https://old.nasdaq.com/symbol/isig",
"INSM","Insmed, Inc.","42","$4.28B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/insm",
"INSE","Inspired Entertainment, Inc.","6.55","$150.84M","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/inse",
"IIIN","Insteel Industries, Inc.","27.18","$524.95M","n/a","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/iiin",
"INAQ","INSU Acquisition Corp. II","16.3","$520.4M","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/inaq",
"INAQU","INSU Acquisition Corp. II","17.7","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/inaqu",
"INAQW","INSU Acquisition Corp. II","4.46","n/a","2020","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/inaqw",
"IIIIU","INSU Acquisition Corp. III","11.12","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/iiiiu",
"PODD","Insulet Corporation","290.3","$19.14B","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/podd",
"NTEC","Intec Pharma Ltd.","4.46","$17.61M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ntec",
"IART","Integra LifeSciences Holdings Corporation","69.3","$5.84B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/iart",
